,Title,Publication Title,Conference Name,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific
77P5EKA6,PowerSAX: Fast motif matching in distributed power meter data using symbolic representations,Proceedings of 9th IEEE International Workshop on Practical Issues in Building Sensor Network Applications (SenseApp 2014),IEEE Workshop on Practical Issues in Building Sensor Network Applications (SensApp),"Reinhardt, Andreas; Koessler, Sebastian",conferencePaper,2014.0,ElectricalEngineering,SmartMeter,MotifandDiscordDetection,SAX,Disaggregation
7EBZDZGD,Data mining in building automation system for improving building operational performance,Energy and Buildings,,"Xiao, Fu; Fan, Cheng",journalArticle,2014.0,BuildingEnergyAnalysis,Operations,RuleExtraction,DataAssociationRules,EnergyManagment
7KEK7GIH,Identifying energy consumption patterns in the Attica hotel sector using cluster analysis techniques with the aim of reducing hotels’ CO2 footprint,Energy and Buildings,,"Pieri, Stella Panayiota; IoannisTzouvadakis; Santamouris, Mat",journalArticle,2015.0,BuildingEnergyAnalysis,PortfolioAnalysis,Clustering,MultipleTechniques,Classifying
85BUJM9C,On the Application of Clustering Techniques for Office Buildings' Energy and Thermal Comfort Classification,IEEE Transactions on Smart Grid,,"Nikolaou, Triantafyllia G; Kolokotsa, Dionysia S; Stavrakakis, George S; Skias, Ioannis D",journalArticle,2012.0,ElectricalEngineering,PortfolioAnalysis,Clustering,MultipleTechniques,Classifying
8HGER8NR,Learning decision rules for energy efficient building control,Journal of Process Control,,"Domahidi, Alexander; Ullmann, Fabian; Morari, Manfred; Jones, Colin N.",journalArticle,2014.0,ElectricalEngineering,Operations,RuleExtraction,SupportVectorMachines,Controls
8RHTGAXS,On the need for time series data mining benchmarks: A survey and empirical demonstration,Data Mining and Knowledge Discovery,,"Keogh, E; Kasetty, S",journalArticle,2003.0,,,,,
8WPRJIBU,Data association mining for identifying lighting energy waste patterns in educational institutes,Energy and Buildings,,"Cabrera, David F Motta; Zareipour, Hamidreza",journalArticle,2013.0,BuildingEnergyAnalysis,PortfolioAnalysis,RuleExtraction,DataAssociationRules,Targeting
935D6TSF,Using principal component and cluster analysis in the heating evaluation of the school building sector,Applied Energy,,"Gaitani, N; Lehmann, C; Santamouris, M; Mihalakakou, G; Patargias, P",journalArticle,2010.0,BuildingEnergyAnalysis,PortfolioAnalysis,Clustering,MultipleTechniques,Targeting
9A4JPRTR,A method for detecting abnormal electricity energy consumption in buildings,Journal Of Computational Information Systems,,"Liu, Dandan; Chen, Qijun; Mori, Kazuyuki; Kida, Yukio",journalArticle,2010.0,ComputerScience,AnomalyDetection,NoveltyDetection,ClassificationandRegressionTree,WholeBuilding
9ER36FIR,Automated daily pattern filtering of measured building performance data,Automation in Construction,,"Miller, Clayton; Nagy, Zoltán; Schlueter, Arno",journalArticle,2015.0,BuildingEnergyAnalysis,PortfolioAnalysis,MotifandDiscordDetection,SAX,Characterization
AKDXQJAR,Occupancy schedules learning process through a data mining framework,Energy and Buildings,,"D’Oca, Simona; Hong, Tianzhen",journalArticle,2015.0,BuildingEnergyAnalysis,Operations,RuleExtraction,MultipleTechniques,OccupancyDetection
AQIC76PB,Wakame: Sense Making of Multi-dimensional Spatial-temporal Data,Proceedings of the International Conference on Advanced Visual Interfaces (AVI 2010),International Conference on Advanced Visual Interfaces (AVI),"Forlines, Clifton; Wittenburg, Kent",conferencePaper,2010.0,ComputerScience,AnomalyDetection,VisualAnalytics,PatternAnalysis,Subsystem
AWV8IZGA,Energy Consumption Improvement Through a Visualization Software,Energy Efficiency - A Bridge to Low Carbon Economy,,"Lange, Benoit; Rodriguez, Nancy; Puech, William",bookSection,2012.0,ElectricalEngineering,Operations,VisualAnalytics,PatternAnalysis,EnergyManagment
BGRSNNAC,A framework for knowledge discovery in massive building automation data and its application in building diagnostics,Automation in Construction,,"Fan, Cheng; Xiao, Fu; Yan, Chengchu",journalArticle,2015.0,BuildingEnergyAnalysis,AnomalyDetection,NoveltyDetection,DataAssociationRules,WholeBuilding
