,Title,Publication Title,Conference Name,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific,title,ID
22,Application of clustering for the development of retrofit strategies for large building stocks,Advanced Engineering Informatics,,"Geyer, Philipp; Schlüter, Arno; Cisar, Sasha",journalArticle,2016,Building Energy Analysis,PortfolioAnalysis,Clustering,Multiple Techniques,Targeting,Application of clustering for the development of retrofit strategies for large building stocks,geyer_application_2016
23,Assessment of potential energy saving using cluster analysis: A case study of lighting systems in buildings,Energy and Buildings,,"Petcharat, Siriwarin; Chungpaibulpatana, Supachart; Rakkwamsuk, Pattana",journalArticle,2012,Building Energy Analysis,PortfolioAnalysis,Clustering,Maximum Likelihood (ML),Targeting,Assessment of potential energy saving using cluster analysis: A case study of lighting systems in buildings,petcharat_assessment_2012
24,Automated daily pattern filtering of measured building performance data,Automation in Construction,,"Miller, Clayton; Nagy, Zoltán; Schlueter, Arno",journalArticle,2015,Building Energy Analysis,PortfolioAnalysis,Motif Detection,Symbolic Aggregate Approximation (SAX),Characterization,Automated daily pattern filtering of measured building performance data,miller_automated_2015
25,Black-box models for fault detection and performance monitoring of buildings,Journal of Building Performance Simulation,,"Jacob, Dirk; Dietz, Sebastian; Komhard, Susanne; Neumann, Christian; Herkel, Sebastian",journalArticle,2010,Building Simulation,AnomalyDetection,Clustering,Hierarchical Clustering,Whole Building,Black-box models for fault detection and performance monitoring of buildings,jacob_black-box_2010
26,Building energy and comfort management through occupant behaviour pattern detection based on a large-scale environmental sensor network,Journal of Building Performance Simulation,,"Dong, Bing; Lam, Khee Poh",journalArticle,2011,Building Simulation,Operations,Motif Detection,Markov Models,Occupancy Detection,Building energy and comfort management through occupant behaviour pattern detection based on a large-scale environmental sensor network,dong_building_2011
27,Building energy information systems: user case studies,Energy Efficiency,,"Granderson, Jessica; Piette, Mary Ann; Ghatikar, Girish",journalArticle,2010,Building Energy Analysis,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,Building energy information systems: user case studies,granderson_building_2010
28,Classification of Commerical Building Electrical Demand Profiles for Energy Storage Applications,"Proceedings of ASME 2012 6th International Conference on Energy Sustainability & 10th Fuel Cell Science, Engineering and Technology Conference (ESFuelCell2012)",ASME International Conference on Energy Sustainability,"Florita, Anthony R; Brackney, Larry J; Otanicar, Todd P; Robertson, Jeffrey",conferencePaper,2012,Building Simulation,SmartMeter,Clustering,Bayesian,Customer Class.,Classification of Commerical Building Electrical Demand Profiles for Energy Storage Applications,florita_classification_2012
29,Classification of Commerical Building Electrical Demand Profiles for Energy Storage Applications,"Proceedings of ASME 2012 6th International Conference on Energy Sustainability & 10th Fuel Cell Science, Engineering and Technology Conference (ESFuelCell2012)",ASME International Conference on Energy Sustainability,"Florita, Anthony R; Brackney, Larry J; Otanicar, Todd P; Robertson, Jeffrey",conferencePaper,2012,Building Simulation,SmartMeter,Clustering,Bayesian,Classification,Classification of Commerical Building Electrical Demand Profiles for Energy Storage Applications,florita_classification_2012
30,"Classification, Filtering, and Identification of Electrical Customer Load Patterns Through the Use of Self-Organizing Maps",IEEE Transactions on Power Systems,,"Verdu, S V; Garcia, M O; Senabre, C; Marin, A G; Franco, F J G",journalArticle,2006,Electrical Engineering,SmartMeter,Clustering,Self-Organizing Maps (SOM),Classification,"Classification, Filtering, and Identification of Electrical Customer Load Patterns Through the Use of Self-Organizing Maps",verdu_classification_2006
31,"Classification, Filtering, and Identification of Electrical Customer Load Patterns Through the Use of Self-Organizing Maps",IEEE Transactions on Power Systems,,"Verdu, S V; Garcia, M O; Senabre, C; Marin, A G; Franco, F J G",journalArticle,2006,Electrical Engineering,SmartMeter,Clustering,Self-Organizing Maps (SOM),Customer Class.,"Classification, Filtering, and Identification of Electrical Customer Load Patterns Through the Use of Self-Organizing Maps",verdu_classification_2006
32,Cluster analysis of simulated energy use for LEED certified U.S. office buildings,Energy and Buildings,,"Heidarinejad, Mohammad; Dahlhausen, Matthew; McMahon, Sean; Pyke, Chris; Srebric, Jelena",journalArticle,2014,Building Energy Analysis,PortfolioAnalysis,Clustering,K-Means,,Cluster analysis of simulated energy use for LEED certified U.S. office buildings,heidarinejad_cluster_2014
33,Clustering time-series energy data from smart meters,Energy Efficiency,,"Lavin, Alexander; Klabjan, Diego",journalArticle,2014,Building Energy Analysis,SmartMeter,Clustering,K-Means,Load Profiling,Clustering time-series energy data from smart meters,lavin_clustering_2014
34,Clustering-Based Performance Optimization of the Boiler Turbine System,IEEE Transactions on Energy Conversion,,"Kusiak, Andrew; Song, Zhe",journalArticle,2008,Electrical Engineering,Operations,Clustering,Multiple Techniques,Controls,Clustering-Based Performance Optimization of the Boiler Turbine System,kusiak_clustering-based_2008
35,Computational intelligence based anomaly detection for Building Energy Management Systems,Proceedings of the 5th International Symposium on Resilient Control Systems (ISRCS 2012),International Symposium on Resilient Control Systems (ISRCS),"Linda, O; Wijayasekara, D; Manic, M; Rieger, C",conferencePaper,2012,Electrical Engineering,AnomalyDetection,Novelty Detection,Nearest Neighbor,Subsystem,Computational intelligence based anomaly detection for Building Energy Management Systems,linda_computational_2012
36,Correlation between occupants and energy consumption,Energy and Buildings,,"Ahn, Ki-Uhn; Park, Cheol-Soo",journalArticle,2016,Building Energy Analysis,Operations,Rule Extraction,Wavelets,Occupancy Detection,Correlation between occupants and energy consumption,ahn_correlation_2016
